event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,assisted,x_distance,y_distance,distance,angle
shot,53fc97c1-8c2a-43de-bc97-f881c9cfd226,80,1,00:01:26.989,1,26,5,Valencia,From Throw In,,Valencia,Daniel Parejo Muñoz,Left Center Midfield,1.008134,,0.044829246,4a080234-e9cb-412b-a053-561db9fc8863,foot,Open Play,Saved,Normal,True,,,,,,97.2,52.3,118.1,41.1,2.3,1,22.799999999999997,12.299999999999997,25.906176869619337,28.345693623076667
shot,ac660c63-ce2c-4161-a2b9-8a1759c4acb7,117,1,00:02:05.780,2,5,15,Valencia,Regular Play,,Valencia,Daniel Parejo Muñoz,Left Center Midfield,0.388572,,0.19961035,21be88d2-611f-4fbc-b1fa-dea3e3f03b7a,foot,Open Play,Saved,Normal,True,,,,,,105.5,39.4,117.8,38.8,0.9,1,14.5,0.6000000000000014,14.512408483776909,2.369508064255294
shot,e166efab-fd48-47bc-89b4-210188266e41,120,1,00:02:07.888,2,7,15,Valencia,From Counter,,Valencia,Denis Cheryshev,Left Midfield,0.88815,,0.22049403,,foot,Open Play,Post,Normal,True,,,,,,115.3,29.9,120.0,44.0,0.4,0,4.700000000000003,10.100000000000001,11.1400179533069,65.045249425421
shot,6423db20-7e34-436b-b322-7526512be6ed,376,1,00:07:06.581,7,6,22,Barcelona,From Free Kick,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.312008,,0.09676448,,foot,Free Kick,Saved,Normal,,,,,,,94.8,43.6,119.2,42.6,1.0,0,25.200000000000003,3.6000000000000014,25.455844122715714,8.130102354155982
shot,25179e55-a58a-4914-b5b8-12bc6ee11b88,455,1,00:08:25.460,8,25,26,Valencia,Regular Play,,Valencia,Daniel Parejo Muñoz,Left Center Midfield,0.984443,,0.061605114,790d44e4-f38d-4537-8187-5f47e515b11d,foot,Open Play,Off T,Normal,True,,,,,,101.8,48.0,120.0,50.1,6.7,1,18.200000000000003,8.0,19.88064385275286,23.728391075952537
shot,56078419-a74f-4232-a326-7ff53ac253b5,503,1,00:09:23.063,9,23,27,Barcelona,From Goal Kick,,Barcelona,Nélson Cabral Semedo,Right Back,0.162167,,0.03872207,9f70d8f9-efbf-494d-8abe-bd11606053b3,foot,Open Play,Blocked,Normal,,,,,,,108.8,53.3,110.9,51.5,,1,11.200000000000003,13.299999999999997,17.387639287723907,49.89909245378775
shot,429ca1e9-8081-4442-b124-6ddf831f51c2,553,1,00:11:31.831,11,31,31,Barcelona,Regular Play,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,1.181036,,0.014457089,4c41bb0e-2ffa-4847-a55d-b6365e996869,foot,Open Play,Off T,Normal,,,,,,,95.6,55.4,120.0,32.2,0.8,1,24.400000000000006,15.399999999999999,28.85342267392207,32.257971341815136
shot,1df07026-0c08-48b3-a6ed-76e752afa624,717,1,00:14:26.041,14,26,33,Barcelona,Regular Play,,Barcelona,Philippe Coutinho Correia,Left Wing,1.267255,,0.030766435,6ec924dc-e05b-44ad-a73e-cbb900c3a772,foot,Open Play,Saved,Normal,,,,,,,95.1,26.0,117.5,41.1,0.9,1,24.900000000000006,14.0,28.565888748645655,29.346827574290398
shot,fc0c167c-92e6-429c-8455-00c7a2719b12,1258,1,00:23:18.307,23,18,49,Valencia,Regular Play,,Valencia,Kevin Gameiro,Left Center Forward,0.392984,,0.47733322,0c9ab45a-9423-4161-bf8e-685da1c9ef71,foot,Open Play,Goal,Normal,True,,,,,,109.1,45.3,120.0,39.2,0.3,1,10.900000000000006,5.299999999999997,12.120231020900555,25.930806462651844
shot,ae48eaf9-5d33-431f-9bf3-3f80955793ea,1478,1,00:31:51.367,31,51,59,Valencia,Other,,Valencia,Daniel Parejo Muñoz,Left Center Midfield,0.522165,,0.76,,foot,Penalty,Goal,Normal,,,,,,,108.1,40.1,120.0,36.7,1.4,0,11.900000000000006,0.10000000000000142,11.900420160649796,0.48146580583835913
shot,099a7c3d-aa74-44d1-82ab-9aead403cbf7,1723,1,00:38:43.281,38,43,70,Barcelona,Other,,Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,0.321987,,0.76,,foot,Penalty,Goal,Normal,,,,,,,108.0,40.0,120.0,41.7,0.2,0,12.0,0.0,12.0,0.0
